,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid,create_time
811,19500000,0,da4a9520-bb00-40bd-9de7-294872276dc7.extra_data.json,-1,396.16497999999996,9583,jQfnryI8/B,2018-06-29 00:07:26.271,792052,1530057600000,5592529,com.sec.android.app.shealth,5602112,6869.885,0,8975,da4a9520-bb00-40bd-9de7-294872276dc7,2018-06-27 04:00:30.286
812,24180000,0,da8a6e70-44cf-4a67-91e9-b5e32e194240.extra_data.json,-1,442.36992999999995,48279,jQfnryI8/B,2017-02-02 04:35:00.836,840000,1485907200000,5953082,com.sec.android.app.shealth,6001361,7810.47,0,10151,da8a6e70-44cf-4a67-91e9-b5e32e194240,2017-02-01 08:00:01.237
813,23280000,168,da92cb1a-0233-4ec2-b62d-ed48bbf7618a.extra_data.json,60,480.81392999999997,800,jQfnryI8/B,2018-11-26 14:14:23.173,3592328,1543104000000,2560710,com.sec.android.app.shealth,6153838,2848.8790000000004,3592328,4863,da92cb1a-0233-4ec2-b62d-ed48bbf7618a,2018-11-25 05:00:00.617
814,25620000,0,da962428-5dee-4724-aa8d-cf49fd36da8e.extra_data.json,-1,280.32993,54847,jQfnryI8/B,2017-09-12 00:15:00.410,660000,1505088000000,3554608,com.sec.android.app.shealth,3609455,4831.65,0,6149,da962428-5dee-4724-aa8d-cf49fd36da8e,2017-09-11 04:15:00.397
815,28740000,96,dab2f2a3-3853-45da-b9dd-103e49b292d6.extra_data.json,60,260.50992,52000,jQfnryI8/B,2016-08-20 03:20:53.296,600000,1471564800000,3494210,com.sec.android.app.shealth,3546210,4593.83,0,5826,dab2f2a3-3853-45da-b9dd-103e49b292d6,2016-08-19 07:00:07.943
816,14820000,0,dac8635b-bbfd-4ee9-84e2-3bb219904f4c.extra_data.json,-1,138.88,12637,jQfnryI8/B,2017-01-30 04:34:59.570,360000,1485648000000,1953581,com.sec.android.app.shealth,1966218,2439.0398,0,3110,dac8635b-bbfd-4ee9-84e2-3bb219904f4c,2017-01-29 08:00:01.551
817,22680000,0,db4365ca-342b-483a-8919-8af9df6448b3.extra_data.json,-1,1251.5511,561730,jQfnryI8/B,2018-01-11 14:05:55.844,4493066,1515542400000,3095225,com.sec.android.app.shealth,11662911,6103.3223,8005956,11103,db4365ca-342b-483a-8919-8af9df6448b3,2018-01-10 05:08:43.160
818,38220000,0,db68724a-4736-4568-981a-f39ceec2a836.extra_data.json,-1,296.59995,72018,jQfnryI8/B,2016-11-02 05:48:02.560,480000,1477958400000,3958543,com.sec.android.app.shealth,4030561,5241.431,0,6704,db68724a-4736-4568-981a-f39ceec2a836,2016-11-01 07:00:01.914
819,23700000,0,dcc5f41d-38f8-4b15-a473-ce50f7ab5c10.extra_data.json,-1,364.18,64551,jQfnryI8/B,2017-01-12 03:55:00.990,480000,1484092800000,4857468,com.sec.android.app.shealth,4922019,6300.7183,0,8087,dcc5f41d-38f8-4b15-a473-ce50f7ab5c10,2017-01-11 08:00:33.344
820,28560000,0,dd1f07f1-1cb5-4c91-a4df-74cc75fa2f3a.extra_data.json,-1,6.98,0,jQfnryI8/B,2017-10-13 22:29:42.435,27347,1507852800000,100717,com.sec.android.app.shealth,100717,123.88999,0,151,dd1f07f1-1cb5-4c91-a4df-74cc75fa2f3a,2017-10-13 04:15:00.371
