,longest_idle_time,score,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,active_time,distance,others_time,step_count,create_time
377,21240000,46,60,112.16,10000,jQfnryI8/B,2018-12-08 15:36:32.857,60000,1544140800000,1688177,1698177,1901.9082,0,2556,2018-12-07 05:00:00.516
378,26580000,0,-1,408.2323,46826,jQfnryI8/B,2018-08-31 19:26:55.531,761281,1535587200000,5829266,5876092,7134.5933,0,9266,2018-08-30 04:00:48.874
379,27960000,0,-1,378.71988,407685,jQfnryI8/B,2017-03-09 02:55:00.842,420000,1488931200000,5808233,6215918,8274.241,0,10510,2017-03-08 05:00:13.671
380,14640000,108,60,391.9,3200,jQfnryI8/B,2018-10-16 12:31:00.965,1800000,1539561600000,2127033,3930233,2357.9834,1800000,3216,2018-10-15 04:00:01.355
381,20460000,0,-1,422.85007,66840,jQfnryI8/B,2018-03-15 17:56:59.200,1800000,1520899200000,2237794,4104634,2805.84,1800000,3633,2018-03-13 07:22:56.819
382,16380000,0,-1,555.8745,5104,jQfnryI8/B,2018-04-13 15:51:29.945,2942110,1523491200000,4198262,7145476,4601.202,2942110,8249,2018-04-12 04:01:02.038
383,18960000,0,-1,518.4015,126233,jQfnryI8/B,2018-01-16 14:06:18.900,2677442,1515974400000,3666502,6470177,4547.2397,2677442,9177,2018-01-15 05:09:36.622
384,12120000,0,-1,539.9691,72398,jQfnryI8/B,2018-05-03 12:50:14.675,831210,1525219200000,7901526,7973924,9257.114,0,12557,2018-05-02 04:00:57.110
385,25800000,0,-1,277.59998,21056,jQfnryI8/B,2017-05-29 22:56:22.900,660000,1496016000000,3696236,3717292,4924.81,0,6355,2017-05-29 04:10:51.804
386,24120000,0,-1,878.8718,13425,jQfnryI8/B,2018-07-19 18:00:46.902,4256384,1531785600000,7258501,11528310,8857.838,4256384,13087,2018-07-17 04:01:00.922
387,27840000,148,60,568.4599,0,jQfnryI8/B,2018-10-28 15:55:14.092,2700000,1540598400000,2049661,5407256,2289.0098,3357595,3439,2018-10-27 04:00:01.605
388,24540000,0,-1,418.55002,27345,jQfnryI8/B,2017-12-14 05:00:08.696,720000,1513123200000,5666811,5694156,7429.101,0,9581,2017-12-13 05:00:01.876
389,25200000,0,-1,413.5801,60922,jQfnryI8/B,2017-04-04 02:06:33.941,420000,1491177600000,5899645,5960567,7573.37,0,9585,2017-04-03 04:00:29.445
390,15000000,0,-1,329.76996,62475,jQfnryI8/B,2017-04-22 01:00:31.399,360000,1492732800000,4496770,4559245,5760.9,0,7369,2017-04-21 04:00:01.337
391,27600000,0,-1,223.85999,9200,jQfnryI8/B,2017-06-16 01:09:27.450,600000,1497484800000,3301904,3311104,4219.301,0,5381,2017-06-15 04:19:31.775
392,24900000,25,60,58.93999,0,jQfnryI8/B,2018-09-25 20:39:25.231,46690,1537747200000,919126,919126,1012.44995,0,1378,2018-09-24 04:04:36.884
393,26340000,0,-1,426.21005,10160,jQfnryI8/B,2017-06-08 01:48:19.660,1080000,1496793600000,5875628,5885788,7726.9385,0,10020,2017-06-07 04:00:00.630
394,28980000,0,-1,182.55998,19557,jQfnryI8/B,2017-03-13 02:08:30.430,180000,1489276800000,2635875,2655432,3315.63,0,4201,2017-03-12 12:02:26.391
395,21720000,0,-1,360.69995,84598,jQfnryI8/B,2017-10-20 02:04:16.147,360000,1508371200000,4784469,4869067,6331.891,0,8029,2017-10-19 04:00:04.325
396,23880000,50,60,141.82997,63856,jQfnryI8/B,2016-06-27 04:30:11.524,360000,1466899200000,1779679,1843535,2423.8003,0,3025,2016-06-26 07:00:02.109
397,24840000,0,-1,697.37964,8617,jQfnryI8/B,2018-07-11 11:07:56.448,3311342,1531180800000,5642876,8962835,6863.826,3311342,10394,2018-07-10 04:00:00.615
398,10080000,0,-1,747.70294,77785,jQfnryI8/B,2018-03-08 13:39:51.209,1500000,1520380800000,7656259,9234044,9423.932,1500000,13600,2018-03-07 06:30:36.227
399,28380000,0,-1,125.41998999999998,12800,jQfnryI8/B,2016-12-26 03:48:50.032,180000,1482624000000,1782681,1795481,2208.5703,0,2766,2016-12-25 08:01:36.917
400,31500000,0,-1,726.5202,1977698,jQfnryI8/B,2016-08-02 05:07:32.491,660000,1470009600000,2884454,4862152,9379.899,0,9932,2016-08-01 07:00:05.499
401,39899999,0,-1,70.04,5600,jQfnryI8/B,2017-11-26 06:07:58.751,60000,1511568000000,1029091,1034691,1282.17,0,1586,2017-11-25 05:00:01.615
402,26040000,0,-1,126.46001,10800,jQfnryI8/B,2017-05-28 21:26:10.904,60000,1495929600000,1856838,1867638,2292.7803,0,2857,2017-05-28 04:00:20.879
403,26220000,0,-1,436.25,22292,jQfnryI8/B,2017-06-22 02:35:01.963,840000,1498003200000,5985258,6007550,7973.6196,0,10206,2017-06-21 04:01:00.731
404,27720000,0,-1,275.12,21653,jQfnryI8/B,2017-05-06 01:41:06.849,660000,1493942400000,3874302,3895955,4909.8594,0,6386,2017-05-05 04:00:01.644
405,20700000,0,-1,596.34045,24051,jQfnryI8/B,2018-03-11 11:21:14.860,3587791,1520640000000,4358005,7945129,5011.0376,3563073,8614,2018-03-10 05:00:01.294
