,heart_rate,deviceuuid,max,min,time_offset,local_start_time,local_end_time
1050,51.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-02 02:40:59.548,2018-07-02 02:40:59.548
1051,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-17 06:10:51.445,2018-10-17 06:10:51.445
1052,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-07 15:10:29.322,2018-10-07 15:10:29.322
1053,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-17 22:10:29.298,2018-06-17 22:10:29.298
1054,65.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-03 10:50:29.304,2018-06-03 10:50:29.304
1055,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-03 05:50:29.240,2018-10-03 05:50:29.240
1056,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-02 04:50:51.523,2018-10-02 04:50:51.523
1057,145.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-29 17:30:46.866,2018-10-29 17:30:46.866
1058,56.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-21 06:40:29.317,2018-12-21 06:40:29.317
1059,59.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-05 20:30:29.247,2018-08-05 20:30:29.247
1060,57.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-16 02:20:29.249,2018-06-16 02:20:29.249
1061,56.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-16 22:10:59.538,2018-12-16 22:10:59.538
1062,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-14 18:20:30.139,2018-08-14 18:20:30.139
1063,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-30 03:40:29.285,2018-08-30 03:40:29.285
1064,59.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-29 02:30:29.277,2018-07-29 02:30:29.277
1065,55.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-23 13:20:58.463,2018-12-23 13:20:58.463
1066,61.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-12 20:00:29.282,2018-11-12 20:00:29.282
1067,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-02 01:30:29.245,2018-07-02 01:30:29.245
1068,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-13 00:30:29.252,2018-09-13 00:30:29.252
1069,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-15 15:40:29.230,2018-09-15 15:40:29.230
1070,48.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-28 05:50:29.313,2018-10-28 05:50:29.313
