,altitude_loss,max_altitude,count,altitude_gain,duration,deviceuuid,max_heart_rate,mean_heart_rate,max_cadence,time_offset,incline_distance,exercise_type,decline_distance,max_speed,calorie,mean_cadence,mean_speed,min_altitude,min_heart_rate,count_type,distance,local_start_time,local_end_time
513,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-06-30 07:44:00.000,2018-06-30 08:14:00.000
514,,,,,76.76728333333334,F/D7+hL5E5,182.0,127.0,0.0,UTC-0400,0.0,custom,0.0,,408.337,0.0,0.0,,85.0,nan,0.0,2018-10-05 16:13:20.172,2018-10-05 17:30:08.274
515,,,,,55.76571666666667,F/D7+hL5E5,220.0,139.0,0.0,UTC-0400,0.0,custom,0.0,,296.553,0.0,0.0,,76.0,nan,0.0,2018-10-17 15:46:11.914,2018-10-17 16:42:00.397
516,,,0.0,,35.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,294.0,,0.0,,,repetition,0.0,2018-04-06 07:25:00.000,2018-04-06 08:00:00.000
517,,,,,70.93973333333334,F/D7+hL5E5,174.0,128.0,0.0,UTC-0400,0.0,custom,0.0,,377.364,0.0,0.0,,75.0,nan,0.0,2018-07-17 17:55:18.496,2018-07-17 19:06:16.375
518,,,,,11.183016666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,custom,,,62.53,0.0,,,0.0,nan,,2018-04-24 13:32:11.262,2018-04-24 13:43:22.243
520,,41.092,,,26.92065,F/D7+hL5E5,183.0,156.0,166.671,UTC-0400,324.696,running,361.995,4.025,349.016,143.63747,2.7323956000000003,14.16,88.0,nan,4412.543,2018-09-02 07:21:59.717,2018-09-02 07:50:23.760
522,,,0.0,,25.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,210.0,,0.0,,,repetition,0.0,2018-06-12 07:11:00.000,2018-06-12 07:36:00.000
523,,,,,35.15828333333334,F/D7+hL5E5,169.0,140.0,0.0,UTC-0800,0.0,custom,0.0,,186.877,0.0,0.0,,86.0,nan,0.0,2017-12-24 09:16:05.548,2017-12-24 09:51:46.961
528,,,0.0,,15.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,126.0,,0.0,,,repetition,0.0,2018-02-17 07:40:00.000,2018-02-17 07:55:00.000
530,,,,,52.5005,F/D7+hL5E5,161.0,123.0,0.0,UTC-0400,0.0,custom,0.0,,279.253,0.0,0.0,,81.0,nan,0.0,2018-10-31 16:19:43.987,2018-10-31 17:12:20.238
534,,,,,50.07086666666667,F/D7+hL5E5,168.0,134.0,0.0,UTC-0400,0.0,custom,0.0,,266.187,0.0,0.0,,100.0,nan,0.0,2018-05-15 16:30:46.516,2018-05-15 17:28:07.061
541,,24.073,,,29.439583333333335,F/D7+hL5E5,178.0,156.0,166.463,UTC-0400,1308.848,running,1260.423,3.951,456.221,135.17581,2.8191845,-138.124,81.0,nan,4972.83,2018-07-13 07:02:53.207,2018-07-13 07:33:59.205
543,,,,,10.0,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,cycling,,,112.0,0.0,,,0.0,nan,,2018-06-26 19:39:41.284,2018-06-26 19:49:41.284
544,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-09 08:09:00.000,2018-01-09 08:39:00.000
550,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-11-05 09:06:00.000,2018-11-05 09:46:00.000
555,62.10687,59.14466,,65.79201,32.43333333333333,jQfnryI8/B,,,,UTC-0700,442.0,running,451.0,4.415482,459.0,,0.0,44.218452,,nan,5510.0,2016-09-30 18:29:56.624,2016-09-30 20:42:10.952
556,,,,,72.28108333333333,F/D7+hL5E5,157.0,130.0,0.0,UTC-0500,0.0,custom,0.0,,384.517,0.0,0.0,,85.0,nan,0.0,2018-11-24 16:18:26.178,2018-11-24 17:30:45.998
558,,252.793,,,31.35295,F/D7+hL5E5,199.0,162.0,208.46,UTC-0800,542.4580000000002,running,786.556,3.932,385.162,141.54398999999995,2.5696523,213.782,94.0,nan,4829.808,2017-12-31 10:23:53.343,2017-12-31 10:57:21.337
559,,,,,29.38945,F/D7+hL5E5,154.0,127.0,0.0,UTC-0400,0.0,custom,0.0,,156.295,0.0,0.0,,100.0,nan,0.0,2018-09-04 17:51:45.156,2018-09-04 18:21:09.925
567,,,,,37.53596666666667,F/D7+hL5E5,170.0,129.0,0.0,UTC-0500,0.0,custom,0.0,,199.613,0.0,0.0,,68.0,nan,0.0,2018-03-05 05:47:05.457,2018-03-05 06:24:43.199
569,,,,,15.505033333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.6944444,65.35,0.0,1.5849553,,0.0,nan,1095.55,2018-10-22 18:26:23.907,2018-10-22 18:41:54.209
571,,,,,10.13555,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,cycling,,,113.518,0.0,,,0.0,nan,,2018-05-26 17:06:57.984,2018-05-26 17:17:06.117
576,,,,,11.337516666666666,jQfnryI8/B,,,,UTC-0400,,walking,,3.6944444,70.79,,1.5948378,,,nan,1084.89,2018-04-04 07:44:06.000,2018-04-04 07:55:26.000
578,,,,,31.780716666666667,F/D7+hL5E5,0.0,0.0,163.69583,UTC-0400,,running,,2.7222223,302.23,123.91161,2.1423686,,0.0,nan,3729.92,2018-07-29 08:22:48.756,2018-07-29 08:54:35.599
583,,,,,15.2942,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,86.62,0.0,,,0.0,nan,,2018-02-24 10:16:04.047,2018-02-24 10:31:21.699
595,,,,,12.218666666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.7228703,54.18,0.0,1.5935841,,0.0,nan,947.833,2018-11-07 20:53:31.820,2018-11-07 21:05:44.940
597,,,,,12.321783333333334,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.8888888,59.97,0.0,1.5873016000000002,,0.0,nan,1041.86,2018-05-23 18:05:46.149,2018-05-23 18:18:05.456
599,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-08-03 07:44:00.000,2018-08-03 08:14:00.000
602,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-05-29 07:22:00.000,2018-05-29 07:52:00.000
604,,,,,15.628583333333333,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,custom,,,101.78,0.0,,,0.0,nan,,2018-01-10 10:34:00.260,2018-01-10 10:49:37.975
606,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-23 07:12:00.000,2018-01-23 07:42:00.000
612,,,0.0,,40.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,336.0,,0.0,,,repetition,0.0,2018-11-29 07:13:00.000,2018-11-29 07:53:00.000
614,,,,,80.21095,F/D7+hL5E5,172.0,128.0,0.0,UTC-0500,0.0,custom,0.0,,426.677,0.0,0.0,,86.0,nan,0.0,2018-02-18 20:07:12.047,2018-02-18 21:27:27.343
615,,,,,58.58266666666667,F/D7+hL5E5,177.0,132.0,0.0,UTC-0400,0.0,custom,0.0,,311.625,0.0,0.0,,91.0,nan,0.0,2018-07-23 18:17:25.622,2018-07-23 19:16:02.678
620,,,,,12.36145,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.8888888,56.26,0.0,1.5955986,,0.0,nan,911.579,2018-10-24 20:52:40.818,2018-10-24 21:05:02.505
621,,,0.0,,15.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,126.0,,0.0,,,repetition,0.0,2018-12-31 10:50:00.000,2018-12-31 11:05:00.000
623,,120.07,,,137.85888333333332,F/D7+hL5E5,158.0,129.0,0.0,UTC-0400,1490.045,cycling,1155.035,10.018,1298.187,0.0,5.6027923,68.975,88.0,nan,46331.586,2018-07-21 10:25:18.505,2018-07-21 13:04:37.466
625,,,,,12.70015,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,1.5833334,62.03,0.0,1.5138888,,0.0,nan,1135.96,2018-06-13 18:19:39.784,2018-06-13 18:32:21.793
