,date,total_sleep_duration_hr,mean_sleep_efficiency,mean_sleep_quality,total_step_count,total_step_distance,total_step_calorie,mean_step_speed,mean_heart_rate,max_heart_rate,min_heart_rate,mean_exercises_heart_rate,mean_cadence,mean_exercises_speed,max_altitude,max_exercises_heart_rate,max_cadence,max_exercises_speed,min_altitude,min_exercises_heart_rate,altitude_loss,total_exercises_rep_count,altitude_gain,total_exercises_duration,incline_distance,decline_distance,total_exercises_calorie,total_exercises_distance
51,2018-02-10,9.4,94.384458,50003.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
52,2018-02-11,7.45,91.29464,50003.0,,,,,,,,,,,,,,,,,,,,,,,,
53,2018-02-12,7.966666666666667,93.94572,50003.0,,,,,,,,60.5,0.0,0.76307415,,183.0,0.0,1.6944444,,0.0,0.0,0.0,0.0,74.76053333333333,0.0,0.0,389.08500000000004,924.65
54,2018-02-13,7.966666666666667,92.90188,50003.0,,,,,,,,,,,,,,,,,,,,,,,,
55,2018-02-14,7.716666666666667,92.456894,,,,,,,,,,,,,,,,,,,,,,,,,
56,2018-02-15,8.783333333333333,93.371216,50004.0,,,,,59.5,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
57,2018-02-16,9.0,95.194084,50004.0,,,,,,,,0.0,0.0,1.5342718000000002,,0.0,0.0,1.7777778000000002,,0.0,0.0,0.0,0.0,12.944433333333333,0.0,0.0,58.28,956.092
58,2018-02-17,7.95,93.93305,50004.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,15.0,0.0,0.0,126.0,0.0
59,2018-02-18,9.1,92.11766,50004.0,,,,,69.5,71.0,68.0,128.0,0.0,0.0,,172.0,0.0,,,86.0,0.0,0.0,0.0,80.21095,0.0,0.0,426.677,0.0
60,2018-02-20,3.466666666666667,89.952156,,,,,,,,,,,,,,,,,,,,,,,,,
61,2018-02-22,7.166666666666667,91.1833,,,,,,,,,,,,,,,,,,,,,,,,,
62,2018-02-23,7.066666666666666,95.76471,,,,,,,,,,,,,,,,,,,,,,,,,
63,2018-02-24,4.683333333333334,91.81495,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,98.95796666666666,0.0,0.0,1023.652,0.0
64,2018-02-25,7.216666666666667,87.78801999999997,,,,,,,,,,,,,,,,,,,,,,,,,
65,2018-02-26,6.616666666666666,95.9799,50003.0,,,,,,,,,,,,,,,,,,,,,,,,
66,2018-02-27,9.2,94.57505,50004.0,,,,,,,,,,,,,,,,,,,,,,,,
67,2018-02-28,6.45,93.5567,,,,,,,,,122.0,0.0,0.0,,154.0,0.0,,,84.0,0.0,0.0,0.0,60.65368333333333,0.0,0.0,322.664,0.0
68,2018-03-01,6.933333333333334,94.230774,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,42.26453333333333,0.0,0.0,308.89,0.0
69,2018-03-02,7.85,93.84289,50003.0,,,,,,,,,,,,,,,,,,,,,,,,
70,2018-03-03,6.4,96.36363,50003.0,,,,,,,,,,,,,,,,,,,,,,,,
71,2018-03-04,7.483333333333333,93.11111,50003.0,,,,,58.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
72,2018-03-06,7.483333333333333,94.654785,,,,,,,,,0.0,0.0,1.6514202500000001,,0.0,0.0,4.0555553,,0.0,0.0,0.0,0.0,24.83976666666667,0.0,0.0,145.32999999999998,2172.563
