,time_offset,floor,deviceuuid,local_start_time,local_end_time
1162,UTC-0400,1.0,F/D7+hL5E5,2018-05-05 20:00:20,2018-05-05 20:00:35
1163,UTC-0400,2.0,F/D7+hL5E5,2018-08-05 08:42:04,2018-08-05 08:42:20
1164,UTC-0400,1.0,F/D7+hL5E5,2018-08-01 08:43:45,2018-08-01 08:44:11
1165,UTC-0400,2.0,F/D7+hL5E5,2018-10-10 17:24:32,2018-10-10 17:25:51
1166,UTC-0400,2.0,F/D7+hL5E5,2018-08-17 12:37:00,2018-08-17 12:38:03
1167,UTC-0400,8.0,F/D7+hL5E5,2018-06-04 18:44:42,2018-06-04 18:46:22
1168,UTC-0400,1.0,F/D7+hL5E5,2018-04-11 20:04:20,2018-04-11 20:04:50
1169,UTC-0400,1.0,F/D7+hL5E5,2018-08-30 09:19:30,2018-08-30 09:19:42
1170,UTC-0400,2.0,F/D7+hL5E5,2018-04-25 17:00:50,2018-04-25 17:01:20
1171,UTC-0500,1.0,F/D7+hL5E5,2018-01-31 17:28:25,2018-01-31 17:28:31
1172,UTC-0400,1.0,F/D7+hL5E5,2018-09-15 18:55:21,2018-09-15 18:55:36
1173,UTC-0400,2.0,F/D7+hL5E5,2018-06-21 14:35:56,2018-06-21 14:36:32
1174,UTC-0400,1.0,F/D7+hL5E5,2018-03-17 14:18:10,2018-03-17 14:18:36
1175,UTC-0800,1.0,F/D7+hL5E5,2017-12-21 08:17:15,2017-12-21 08:17:42
1176,UTC-0400,1.0,F/D7+hL5E5,2018-04-04 17:24:02,2018-04-04 17:24:14
1177,UTC-0400,1.0,F/D7+hL5E5,2018-06-25 19:07:34,2018-06-25 19:08:00
1178,UTC-0800,2.0,F/D7+hL5E5,2017-12-27 20:15:08,2017-12-27 20:15:48
1179,UTC-0500,1.0,F/D7+hL5E5,2018-11-13 14:34:17,2018-11-13 14:34:35
